IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE,BANK_NAME,STATUS
ABHY0065077,NA,PEN,"SHOP NO.4 AND 6, REDWOOD CITY PLAZA, PLOT NO. C 13, SURVEY NO 242B, ICE FACTORY, PEN 402107.",22-24140961,PEN,RAIGAD,MAHARASHTRA,ABHYUDAYA COOPERATIVE BANK LIMITED,V
ABHY0065027,400065027,KANDIVLI-EAST,"GUNDECHA INDL.COMPLEX, AKURLI RD, KANDIVLI (E), MUMBAI-400101",22-28851962,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065004,400065004,BHANDUP,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",22-25963157,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065026,400065026,KHER NAGAR,"JANATA EDUCATION SOC. PREMISES, KHER NAGAR, BANDRA (E), MUMBAI-400051",22-26473470,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065104,411065004,YERWADA,"OM MAHAVIR CHS, SHOP NO. D1-2-3, SURVEY NO. 1-A, PUNE NAGAR RD., YERWADA, PUNE-411006",20-26613493,PUNE,PUNE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065016,400065016,VASHI,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",22-27892458,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065101,411065001,PUNE SERVICE BRANCH,"598, DHANVANT PLAZA,BHUDWAR PETH,PUNE- 411002",,PUNE,PUNE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,I
ABHY0065056,400065056,SEAWOOD,"SHOP NO. 13 TO 15, GIRIRAJ CO-OP HSG SOCIETY LTD., PLOT NO.7&8, SECTOR NO.44, NRI SEAWOOD ROAD, SEAWOOD, NERUL 400706",22-27719879,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065117,422065003,AMBAD,"SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008",253-2399714,NASHIK,NASIK,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065012,400065012,WADALA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",22-24184512,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065120,431065102,ASHOK NAGAR,"GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605",2462-254030,NANDED,NANDED,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065067,400065067,DIVA (E),"SHREE KRISHNA PARK, NEAR SHIV SENA SHAKA, DIVA (E), DIST. THANE - 400 612.",22-25318101,THANE,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065038,400065038,DADAR,"GURUKRIPA CHS LTD., OPP. PLAZA CINEMA, DADAR (W), MUMBAI-400028.",22-24325136,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065029,400065029,GANESH NAGAR,"NAVJIVAN VIDYA MANDIR, GANESH NAGAR, BHANDUP (W), MUMBAI-400078.",22-25951049,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065011,400065011,SEWRI,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",22-24136008,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065045,400065045,KAMOTHE,"DHARTI COMPLEX, SHOP NO.7,8,9310 & 11, PLOT NO. 60/61, SECTOR 18, KAMOTHE II, PANVEL-",22-65298847,NAVI MUMBAI,RAIGAD,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065009,400065009,NEHRU NAGAR,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",22-25222386,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065047,400065047,DAHISAR EAST,"GR. FLOOR, MADHURAM HALL, HARISHANKAR JOSHI ROAD, DAHISAR (E), MUMBAI - 400 068",22-28480321,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065002,400065002,ABHYUDAYA NAGAR,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",22-24702643,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065202,380065002,MITHAKHALI,"JAYMANGAL HOUSE, BLOCK B, NEAR GANDHIGRAM RLY, STATION, ELLISBRIDGE, AHMEDABAD- 380 009.",79-26589676,AHMEDABAD,AHMEDABAD,GUJARAT,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065031,400065031,NERUL,"ABHYUDAYA BANK BLDG. PLOT NO.3A, SECTOR 15, NERUL, NAVI MUMBAI-400706",22-27717823,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065068,400065068,ANJUR PHATA,"SOM SHIV PLAZA, ANJUR PHATA, KAMATGHAR, AGRA ROAD, BHIWANDI - 421 302.",2522-278055,BHIWANDI,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065205,380065005,ODHAV,"HARSHAD CHAMBERS, OPP. VALLABHNAGAR, ODHAV, AHMEDABAD - 380 021",79-22871977,AHMEDABAD,AHMEDABAD,GUJARAT,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065112,440211251,NAGPUR,"BHAGVAN HOUSE, GROUND FLOOR, WARDHA ROAD, WARDHA ROAD, NAGPUR WARDHA ROAD, NAGPUR",71-22244715,NAGPUR,NAGPUR,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065017,400065017,MOBILE BANK,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",22-27892444,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065305,NA,PADUBIDRI,"SHRI SHAKTHI COMPLEX, NH-66, NADSAL VILLAGE, PADUBIDRI, UDUPI-DIST, 574111",820-2556177,UDUPI,DAKSHINA KANNADA,KARNATAKA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065037,400065037,KOPARKHAIRNE,"UNIT NO.1, PLOT 24-25 SECTOR 6, KOPARKHAIRANE, NAVI MUMBAI-400701",22-27544040,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065201,390065002,MANDVI,"SHREE KRISHNA BHAVAN, NEAR CHAMPANER GATE,  3259 BANK ROAD, VADODARA 390006,",265-2424149,VADODARA,VADODARA,GUJARAT,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065116,411065016,CHAKAN BRANCH,"ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501",2135-252001,CHAKAN,PUNE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065036,400065036,BANKING COMPLEX,"UNIT NO.7 SECTOR 19, PHASE II, APMC, VASHI, NAVI MUMBAI-400705",22-27830425,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065208,380065008,GHATLODIYA,"1, SATYAM, MANJUSHRI SOCIETY, GHATLODIA, AHMEDABAD- 380 061.",79-27475098,AHMEDABAD,AHMEDABAD,GUJARAT,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065018,400065018,NEW PANVEL,"ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",22-27453585,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065114,416065501,KANKAVLI,"3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602",2367-231160,KANKAVLI,SINDHUDURG,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065061,400065061,KHANDA COLONY,"SHOP NO.30 TO 33, GROUND FLOOR, SHREEJI SANGH, SECTOR - 7, PLOT NO. 15/16 KHANDA COLONY, PANVEL 410206",22-27490760,PANVEL,RAIGAD,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065021,400065021,MALAD EAST,"148 ELLORA SHOPPING CENTRE, DAFTARY ROAD, MALAD (EAST), MUMBAI-400097",22-28800272,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065064,400065064,GOREGAON WEST,"SHOP NO.2,3,5 & 6A, VRINDAVAN CHS LTD., BUILDING NO.9, SHASTRI NAGAR ROAD NO.1, GOREGAON (W), MUMBAI 400 104.",22-28711793,MUMBAI,GREATER BOMBAY,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065210,380065010,MADHUPURA,"1460, NAVA MADHUPURA, NEAR DELHI GATE, AHMEDABAD - 380  004.",079-22164091,MADHUPURA /AHMEDABAD,AHMEDABAD ,GUJARAT,ABHYUDAYA CO-OP BANK LTD,I
ABHY0065209,380065009,THALTEJ,"NEWYORK TOWERS- B, THALTEJ CROSS ROAD, SARKHEJ- GANDHINAGAR HIGHWAY, AHMEDABAD- 380 054.",079-26853485,THALTEJ /AHMEDABAD,AHMEDABAD ,GUJARAT,ABHYUDAYA CO-OP BANK LTD,I
ABHY0065005,400065005,DARUKHANA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",22-23778164,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065003,NA,BAIL BAZAR,"KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",22-25032202,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA COOPERATIVE BANK LIMITED,V
ABHY0065046,400065046,BHAYANDAR,"SHOP NO. 7,8,9,&107 TO 111 ON GR. FLOOR & 1ST FLOOR. MALHAR ARCADE, CODDEV VILLAGE, NAVGHAR PHATAK ROAD, BHAYANDAR (E), DIST. THANE, 401101",22-28140964,THANE,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065102,411065002,NANA PETH,"355, NANA PETH, PUNE-411002",20-26356923,PUNE,PUNE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065054,400065054,CHEMBUR,"SHOP NO.12 TO 19, BLDG. NO. 2, TILAKNAGAR SHRAMIK CO-OP HSG SOCIETY LTD., TILAKNAGAR, CHEMBUR, MUMBAI 400089.",22-25262390,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065099,NA,SERVICE CENTER,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",22-25260172,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065028,400065028,SHERLY RAJAN,"KHAIR HOUSE, SHERLY RAJAN RD, BANDRA (WEST), MUMBAI-400050",22-26047905,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065022,400065022,CBD BELAPUR,"SECTOR-3, CHANAKYA SHOPPING CENTRE, BELAPUR (CBD), NAVI MUMBAI-400614",22-27572179,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065008,400065008,KANJUR,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",0-8928523902,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065211,NA,DHOLAKA,"DHOLAKA COTTON MARKET, CHARITY FOUNDATION,",02714-223239,DHOLAKA /AHMEDABAD,AHMEDABAD ,GUJARAT,ABHYUDAYA CO-OP BANK LTD,I
ABHY0065032,400065032,AIROLI,"ABHYUDAYA BANK BLDG., PLOT NO.26 SECTOR 17, AIROLI, NAVI MUMBAI-400701",22-27792043,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065059,400065059,NALLASOPARA,"SHOP NO. 1 & 2, GROUND FLOOR, OLIVE APARTMENT, BLDG.NO.06, SECTOR VII, NALLASOPARA, TAL VASAI, DIST THANE.",250-3290277,THANE,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065044,400065044,GHANSOLI,"SHREE MANOSHI COMPLEX, PLOT NO.5& 6, SECTOR-3, GHANSOLI, NAVI MUMBAI GHANSOLI- 410 701.",22-27549124,NAVI MUMBAI,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065057,400065057,GHODBUNDER ROAD,"SIDDHIVINAYAK ARCADE, KAILASH TOWER, OWALE VILLAGE, OWALA NAKA, GHODBUNDER ROAD, THANE 400605.",22-25971586,THANE,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065024,400065024,BORIVALI,"RATNADEEP APARTMENTS, CARTER ROAD NO.1, BORIVLI (EAST), MUMBAI-400066",22-28636529,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065020,400065020,DHARAVI,"WESTERN INDIA TANNERIES, SION DHARAVI ROAD, MUMBAI-400017",22-24077126,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065070,400065070,LOWER PAREL,"SHIVAJI NAGAR CO - OP. HSG, SOCIETY LTD, SHIVAJI NAGAR, N. M. JOSHI MARG, DELISLE ROAD, LOWER PAREL (EAST), MUMBAI - 400 013",0-8104311084,MUMBAI,GREATER BOMBAY,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065306,575065002,MANGALORE,"SHOP NO. 4, JANVI PLAZA, NEAR BUNTS HOSTEL, KARANGLAPADY, MANGALORE-575003",820-2423067,MANGALORE,DAKSHINA KANNADA,KARNATAKA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065303,NA,UDYAVARA,"UDYAVARA, TEH. UDUPI, 574 118",0820-2521687,UDYAVARA / UDUPI,UDUPI,KARNATAKA,ABHYUDAYA CO-OP BANK LTD,I
